App	Duration	KeyStrokes	MouseClicks	StartTime	EndTime	SwithTo
0	ms-teams	53.4258044	12	25	2025-07-10 09:28:11	2025-07-10 09:29:04	ms-teams > chrome
1	chrome	24.889601	52	17	2025-07-10 09:29:04	2025-07-10 09:29:29	chrome > ms-teams
2	ms-teams	8.950181	3	5	2025-07-10 09:29:29	2025-07-10 09:29:38	ms-teams > explorer
3	explorer	0.058044	0	1	2025-07-10 09:29:38	2025-07-10 09:29:38	explorer > chrome
4	chrome	8.2468769	0	3	2025-07-10 09:29:38	2025-07-10 09:29:47	chrome > explorer
5	explorer	0.7891757	0	0	2025-07-10 09:29:47	2025-07-10 09:29:47	explorer > ms-teams
6	ms-teams	12.3775622	0	12	2025-07-10 09:29:47	2025-07-10 09:30:00	ms-teams > explorer
7	explorer	4671.1770636	11	19	2025-07-10 09:30:00	2025-07-10 10:47:51	explorer > dragon center
8	dragon center	0.3498769	0	2	2025-07-10 10:47:51	2025-07-10 10:47:51	dragon center > explorer
9	explorer	2.4506663	0	4	2025-07-10 10:47:51	2025-07-10 10:47:54	explorer > revit
10	revit	2.1007569	0	6	2025-07-10 10:47:54	2025-07-10 10:47:56	revit > explorer
11	explorer	6.4490085	0	0	2025-07-10 10:47:56	2025-07-10 10:48:02	explorer > revit
12	revit	5.2584934	0	1	2025-07-10 10:48:02	2025-07-10 10:48:07	revit > explorer
13	explorer	14.6083602	0	2	2025-07-10 10:48:07	2025-07-10 10:48:22	explorer > avpui
14	avpui	4.0549436	0	0	2025-07-10 10:48:22	2025-07-10 10:48:26	avpui > explorer
15	explorer	0.0930093	0	1	2025-07-10 10:48:26	2025-07-10 10:48:26	explorer > ms-teams
16	ms-teams	43.1976973	0	12	2025-07-10 10:48:26	2025-07-10 10:49:09	ms-teams > explorer
17	explorer	3.3949586	0	0	2025-07-10 10:49:09	2025-07-10 10:49:13	explorer > ms-teams
18	ms-teams	20.0793691	123	7	2025-07-10 10:49:13	2025-07-10 10:49:33	ms-teams > explorer
19	explorer	24.8577077	3	18	2025-07-10 10:49:33	2025-07-10 10:49:58	explorer > ms-teams
20	ms-teams	0.8521499	0	1	2025-07-10 10:49:58	2025-07-10 10:49:59	ms-teams > explorer
21	explorer	0.7541268	0	1	2025-07-10 10:49:59	2025-07-10 10:49:59	explorer > ms-teams
22	ms-teams	3.9799763	0	6	2025-07-10 10:49:59	2025-07-10 10:50:03	ms-teams > explorer
23	explorer	2.79952	0	3	2025-07-10 10:50:03	2025-07-10 10:50:06	explorer > ms-teams
24	ms-teams	2.5690329	0	1	2025-07-10 10:50:06	2025-07-10 10:50:09	ms-teams > explorer
25	explorer	3.1637045	0	5	2025-07-10 10:50:09	2025-07-10 10:50:12	explorer > ms-teams
26	ms-teams	26.4324336	145	5	2025-07-10 10:50:12	2025-07-10 10:50:38	ms-teams > explorer
27	explorer	10.718009	1	8	2025-07-10 10:50:38	2025-07-10 10:50:49	explorer > chrome
28	chrome	8.7653011	30	0	2025-07-10 10:50:49	2025-07-10 10:50:58	chrome > ms-teams
29	ms-teams	0.0531842	0	1	2025-07-10 10:50:58	2025-07-10 10:50:58	ms-teams > chrome
30	chrome	0.1619191	0	0	2025-07-10 10:50:58	2025-07-10 10:50:58	chrome > ms-teams
